date,product,category,quantity,price,region,salesperson
2024-01-15,Laptop Pro,Electronics,2,1299.99,West,Alice Johnson
2024-01-18,Wireless Mouse,Electronics,5,29.99,East,Bob Smith
2024-01-20,Office Chair,Furniture,3,249.99,South,Carol White
2024-01-22,Desk Lamp,Furniture,4,45.99,North,David Brown
2024-01-25,Notebook Set,Office Supplies,10,12.99,West,Alice Johnson
2024-01-28,Monitor 27",Electronics,1,399.99,East,Bob Smith
2024-02-01,Keyboard Mechanical,Electronics,3,89.99,South,Carol White
2024-02-03,File Cabinet,Furniture,2,199.99,North,David Brown
2024-02-05,Printer Ink,Office Supplies,8,34.99,West,Alice Johnson
2024-02-08,Tablet 10",Electronics,2,299.99,East,Bob Smith
2024-02-10,Desk Organizer,Office Supplies,6,19.99,South,Carol White
2024-02-12,Standing Desk,Furniture,1,599.99,North,David Brown
2024-02-15,USB Cable,Electronics,12,9.99,West,Alice Johnson
2024-02-18,Pen Set,Office Supplies,15,8.99,East,Bob Smith
2024-02-20,Ergonomic Chair,Furniture,2,349.99,South,Carol White
2024-02-22,Webcam HD,Electronics,4,79.99,North,David Brown
2024-02-25,Stapler,Office Supplies,7,14.99,West,Alice Johnson
2024-02-28,Smartphone,Electronics,1,899.99,East,Bob Smith
2024-03-01,Bookshelf,Furniture,3,149.99,South,Carol White
2024-03-03,Paper Clips,Office Supplies,20,4.99,North,David Brown
2024-03-05,Headphones,Electronics,5,129.99,West,Alice Johnson
2024-03-08,Calculator,Office Supplies,4,24.99,East,Bob Smith
2024-03-10,Conference Table,Furniture,1,799.99,South,Carol White
2024-03-12,USB Drive 64GB,Electronics,8,19.99,North,David Brown
2024-03-15,Binder,Office Supplies,9,11.99,West,Alice Johnson
2024-03-18,Smart Watch,Electronics,2,249.99,East,Bob Smith
2024-03-20,Desk Drawer,Furniture,2,89.99,South,Carol White
2024-03-22,Highlighters,Office Supplies,12,6.99,North,David Brown
2024-03-25,Laptop Stand,Electronics,6,49.99,West,Alice Johnson
2024-03-28,Whiteboard,Furniture,1,129.99,East,Bob Smith
2024-04-01,Sticky Notes,Office Supplies,18,5.99,South,Carol White
2024-04-03,Tablet Stand,Electronics,4,34.99,North,David Brown
2024-04-05,File Folders,Office Supplies,11,7.99,West,Alice Johnson
2024-04-08,Gaming Chair,Furniture,2,449.99,East,Bob Smith
2024-04-10,Power Bank,Electronics,7,39.99,South,Carol White
2024-04-12,Label Maker,Office Supplies,3,59.99,North,David Brown
2024-04-15,Monitor Stand,Furniture,5,29.99,West,Alice Johnson
2024-04-18,Bluetooth Speaker,Electronics,4,89.99,East,Bob Smith
2024-04-20,Desk Pad,Office Supplies,8,16.99,South,Carol White
2024-04-22,Storage Cabinet,Furniture,2,279.99,North,David Brown
2024-04-25,Wireless Charger,Electronics,6,24.99,West,Alice Johnson
2024-04-28,Calendar,Office Supplies,5,12.99,East,Bob Smith
2024-05-01,Reception Desk,Furniture,1,999.99,South,Carol White
2024-05-03,Phone Case,Electronics,10,19.99,North,David Brown
2024-05-05,Envelopes,Office Supplies,14,9.99,West,Alice Johnson
2024-05-08,Smart TV 55",Electronics,1,1299.99,East,Bob Smith
2024-05-10,Desk Mat,Office Supplies,6,18.99,South,Carol White
2024-05-12,Corner Desk,Furniture,1,449.99,North,David Brown
2024-05-15,Wireless Earbuds,Electronics,8,79.99,West,Alice Johnson
2024-05-18,Clipboard,Office Supplies,9,8.99,East,Bob Smith
2024-05-20,Executive Chair,Furniture,2,599.99,South,Carol White
2024-05-22,SD Card 128GB,Electronics,5,29.99,North,David Brown
2024-05-25,Rubber Bands,Office Supplies,16,3.99,West,Alice Johnson
2024-05-28,Workstation Desk,Furniture,1,699.99,East,Bob Smith
2024-06-01,Smartphone Case,Electronics,7,24.99,South,Carol White
2024-06-03,Index Cards,Office Supplies,13,4.99,North,David Brown
2024-06-05,Modular Shelving,Furniture,3,199.99,West,Alice Johnson
2024-06-08,Tablet Keyboard,Electronics,3,69.99,East,Bob Smith
2024-06-10,Binder Clips,Office Supplies,11,5.99,South,Carol White
2024-06-12,Adjustable Desk,Furniture,1,899.99,North,David Brown
2024-06-15,Portable SSD,Electronics,4,89.99,West,Alice Johnson
2024-06-18,Post-it Flags,Office Supplies,15,6.99,East,Bob Smith
2024-06-20,Meeting Table,Furniture,1,1199.99,South,Carol White
2024-06-22,Webcam 4K,Electronics,2,149.99,North,David Brown
2024-06-25,Desk Tray,Office Supplies,7,13.99,West,Alice Johnson
2024-06-28,Gaming Monitor,Electronics,1,499.99,East,Bob Smith
2024-07-01,Storage Boxes,Office Supplies,10,11.99,South,Carol White
2024-07-03,Ergonomic Keyboard,Electronics,4,119.99,North,David Brown
2024-07-05,Desk Accessories Set,Office Supplies,5,34.99,West,Alice Johnson
2024-07-08,Corner Workstation,Furniture,1,549.99,East,Bob Smith
2024-07-10,USB Hub,Electronics,6,29.99,South,Carol White
2024-07-12,Document Holder,Office Supplies,4,19.99,North,David Brown
2024-07-15,L-Shaped Desk,Furniture,1,749.99,West,Alice Johnson
2024-07-18,Wireless Mouse Pro,Electronics,5,49.99,East,Bob Smith
2024-07-20,Pen Holder,Office Supplies,8,7.99,South,Carol White
2024-07-22,Monitor Arm,Furniture,3,79.99,North,David Brown
2024-07-25,Smartphone Stand,Electronics,7,14.99,West,Alice Johnson
2024-07-28,Desk Organizer Pro,Office Supplies,6,24.99,East,Bob Smith
2024-08-01,Executive Desk,Furniture,1,1299.99,South,Carol White
2024-08-03,Noise Cancelling Headphones,Electronics,3,299.99,North,David Brown
2024-08-05,File Organizer,Office Supplies,9,16.99,West,Alice Johnson
2024-08-08,Modular Desk System,Furniture,2,399.99,East,Bob Smith
2024-08-10,Tablet Pro 12",Electronics,1,799.99,South,Carol White
2024-08-12,Desk Calendar,Office Supplies,4,15.99,North,David Brown
2024-08-15,Office Sofa,Furniture,1,899.99,West,Alice Johnson
2024-08-18,Wireless Charging Pad,Electronics,8,19.99,East,Bob Smith
2024-08-20,Magazine Holder,Office Supplies,5,12.99,South,Carol White
2024-08-22,Standing Desk Converter,Furniture,2,249.99,North,David Brown
2024-08-25,Smart Display,Electronics,1,199.99,West,Alice Johnson
2024-08-28,Desk Reference Guide,Office Supplies,3,8.99,East,Bob Smith
2024-09-01,Conference Chair Set,Furniture,4,179.99,South,Carol White
2024-09-03,Portable Monitor,Electronics,2,249.99,North,David Brown
2024-09-05,Desk Clock,Office Supplies,6,18.99,West,Alice Johnson
2024-09-08,Workstation Setup,Furniture,1,1499.99,East,Bob Smith
2024-09-10,Wireless Presenter,Electronics,3,79.99,South,Carol White
